tamanho,conjunto,instancia,tempo (ms),valor solução,sol piecerank
800x800,conjunto 44,1,1257701,791,"791,90"
800x800,conjunto 44,2,1232399,792,"791,90"
800x800,conjunto 44,3,1235785,792,"791,90"
800x800,conjunto 44,4,1222778,791,"791,90"
800x800,conjunto 44,5,1220659,791,"791,90"
800x800,conjunto 44,6,625697,791,"791,90"
800x800,conjunto 44,7,1235723,792,"791,90"
800x800,conjunto 44,8,1257175,791,"791,90"
800x800,conjunto 44,9,1243871,791,"791,90"
800x800,conjunto 44,10,1243639,791,"791,90"
800x800,conjunto 48,1,1307671,793,"793,20"
800x800,conjunto 48,2,1394730,793,"793,20"
800x800,conjunto 48,3,1487299,793,"793,20"
800x800,conjunto 48,4,1307264,792,"793,20"
800x800,conjunto 48,5,1328790,793,"793,20"
800x800,conjunto 48,6,1307810,793,"793,20"
800x800,conjunto 48,7,1359345,792,"793,20"
800x800,conjunto 48,8,1339410,793,"793,20"
800x800,conjunto 48,9,1339219,793,"793,20"
800x800,conjunto 48,10,1288325,793,"793,20"
800x800,conjunto 50,1,1334021,793,"793,80"
800x800,conjunto 50,2,1385979,794,"793,80"
800x800,conjunto 50,3,1411041,793,"793,80"
800x800,conjunto 50,4,1435431,794,"793,80"
800x800,conjunto 50,5,1361334,793,"793,80"
800x800,conjunto 50,6,1366099,793,"793,80"
800x800,conjunto 50,7,1372399,794,"793,80"
800x800,conjunto 50,8,1391760,793,"793,80"
800x800,conjunto 50,9,1367406,793,"793,80"
800x800,conjunto 50,10,704544,793,"793,80"
1000x1000,conjunto 2,1,252037,172,"200,80"
1000x1000,conjunto 2,2,242627,172,"200,80"
1000x1000,conjunto 2,3,244430,168,"200,80"
1000x1000,conjunto 2,4,246264,179,"200,80"
1000x1000,conjunto 2,5,252401,174,"200,80"
1000x1000,conjunto 2,6,253262,169,"200,80"
1000x1000,conjunto 2,7,243278,173,"200,80"
1000x1000,conjunto 2,8,129328,171,"200,80"
1000x1000,conjunto 2,9,261557,166,"200,80"
1000x1000,conjunto 2,10,239551,171,"200,80"
1000x1000,conjunto 4,1,311957,396,"439,30"
1000x1000,conjunto 4,2,325562,392,"439,30"
1000x1000,conjunto 4,3,299712,419,"439,30"
1000x1000,conjunto 4,4,311962,399,"439,30"
1000x1000,conjunto 4,5,310533,411,"439,30"
1000x1000,conjunto 4,6,316321,389,"439,30"
1000x1000,conjunto 4,7,311084,406,"439,30"
1000x1000,conjunto 4,8,303175,387,"439,30"
1000x1000,conjunto 4,9,318336,395,"439,30"
1000x1000,conjunto 4,10,312074,402,"439,30"
1000x1000,conjunto 6,1,384077,613,"630,90"
1000x1000,conjunto 6,2,378090,608,"630,90"
1000x1000,conjunto 6,3,360888,589,"630,90"
1000x1000,conjunto 6,4,376152,594,"630,90"
1000x1000,conjunto 6,5,386037,605,"630,90"
1000x1000,conjunto 6,6,370387,609,"630,90"
1000x1000,conjunto 6,7,396668,589,"630,90"
1000x1000,conjunto 6,8,388040,611,"630,90"
1000x1000,conjunto 6,9,391092,615,"630,90"
1000x1000,conjunto 6,10,387672,613,"630,90"
1000x1000,conjunto 8,1,461576,730,"748,60"
1000x1000,conjunto 8,2,434129,723,"748,60"
1000x1000,conjunto 8,3,463894,725,"748,60"
1000x1000,conjunto 8,4,459139,734,"748,60"
1000x1000,conjunto 8,5,444666,737,"748,60"
1000x1000,conjunto 8,6,456192,730,"748,60"
1000x1000,conjunto 8,7,236710,724,"748,60"
1000x1000,conjunto 8,8,425118,724,"748,60"
1000x1000,conjunto 8,9,451857,730,"748,60"
1000x1000,conjunto 8,10,457972,731,"748,60"
1000x1000,conjunto 10,1,267651,803,"821,20"
1000x1000,conjunto 10,2,547039,810,"821,20"
1000x1000,conjunto 10,3,494419,800,"821,20"
1000x1000,conjunto 10,4,512051,801,"821,20"
1000x1000,conjunto 10,5,542354,807,"821,20"
1000x1000,conjunto 10,6,510023,810,"821,20"
1000x1000,conjunto 10,7,494218,810,"821,20"
1000x1000,conjunto 10,8,530004,820,"821,20"
1000x1000,conjunto 10,9,262378,804,"821,20"
1000x1000,conjunto 10,10,502626,811,"821,20"
1000x1000,conjunto 14,1,644193,889,"899,10"
1000x1000,conjunto 14,2,656747,894,"899,10"
1000x1000,conjunto 14,3,669654,891,"899,10"
1000x1000,conjunto 14,4,657087,890,"899,10"
1000x1000,conjunto 14,5,616346,886,"899,10"
1000x1000,conjunto 14,6,660633,891,"899,10"
1000x1000,conjunto 14,7,643394,890,"899,10"
1000x1000,conjunto 14,8,641427,894,"899,10"
1000x1000,conjunto 14,9,348572,892,"899,10"
1000x1000,conjunto 14,10,631085,892,"899,10"
1000x1000,conjunto 18,1,783736,931,"935,10"
1000x1000,conjunto 18,2,773692,932,"935,10"
1000x1000,conjunto 18,3,790365,932,"935,10"
1000x1000,conjunto 18,4,787099,930,"935,10"
1000x1000,conjunto 18,5,784680,932,"935,10"
1000x1000,conjunto 18,6,765106,932,"935,10"
1000x1000,conjunto 18,7,769153,932,"935,10"
1000x1000,conjunto 18,8,759328,932,"935,10"
1000x1000,conjunto 18,9,791573,932,"935,10"
1000x1000,conjunto 18,10,788739,930,"935,10"
1000x1000,conjunto 20,1,849362,945,"945,90"
1000x1000,conjunto 20,2,828159,942,"945,90"
1000x1000,conjunto 20,3,883787,942,"945,90"
1000x1000,conjunto 20,4,442528,945,"945,90"
1000x1000,conjunto 20,5,865661,940,"945,90"
1000x1000,conjunto 20,6,819635,943,"945,90"
1000x1000,conjunto 20,7,871241,944,"945,90"
1000x1000,conjunto 20,8,845040,943,"945,90"
1000x1000,conjunto 20,9,805995,945,"945,90"
1000x1000,conjunto 20,10,837332,940,"945,90"
1000x1000,conjunto 24,1,1041594,960,"962,90"
1000x1000,conjunto 24,2,999850,961,"962,90"
1000x1000,conjunto 24,3,485305,961,"962,90"
1000x1000,conjunto 24,4,983823,961,"962,90"
1000x1000,conjunto 24,5,954857,961,"962,90"
1000x1000,conjunto 24,6,983431,960,"962,90"
1000x1000,conjunto 24,7,979838,961,"962,90"
1000x1000,conjunto 24,8,972260,961,"962,90"
1000x1000,conjunto 24,9,996190,960,"962,90"
1000x1000,conjunto 24,10,991817,963,"962,90"
1000x1000,conjunto 28,1,1083141,971,"972,10"
1000x1000,conjunto 28,2,1091448,970,"972,10"
1000x1000,conjunto 28,3,1185308,973,"972,10"
1000x1000,conjunto 28,4,1137482,971,"972,10"
1000x1000,conjunto 28,5,1086755,972,"972,10"
1000x1000,conjunto 28,6,1081673,972,"972,10"
1000x1000,conjunto 28,7,1116279,970,"972,10"
1000x1000,conjunto 28,8,1100703,972,"972,10"
1000x1000,conjunto 28,9,1114985,971,"972,10"
1000x1000,conjunto 28,10,1112798,971,"972,10"
1000x1000,conjunto 30,1,1149718,975,"975,30"
1000x1000,conjunto 30,2,1220176,975,"975,30"
1000x1000,conjunto 30,3,1060814,974,"975,30"
1000x1000,conjunto 30,4,1197978,975,"975,30"
1000x1000,conjunto 30,5,1163102,975,"975,30"
1000x1000,conjunto 30,6,1152502,975,"975,30"
1000x1000,conjunto 30,7,1126234,974,"975,30"
1000x1000,conjunto 30,8,1119001,974,"975,30"
1000x1000,conjunto 30,9,1215836,975,"975,30"
1000x1000,conjunto 30,10,1162412,976,"975,30"
1000x1000,conjunto 34,1,1284154,981,"981,60"
1000x1000,conjunto 34,2,1362567,980,"981,60"
1000x1000,conjunto 34,3,1359779,981,"981,60"
1000x1000,conjunto 34,4,1298852,979,"981,60"
1000x1000,conjunto 34,5,1291013,981,"981,60"
1000x1000,conjunto 34,6,1248833,982,"981,60"
1000x1000,conjunto 34,7,1303169,980,"981,60"
1000x1000,conjunto 34,8,1224295,980,"981,60"
1000x1000,conjunto 34,9,1243866,981,"981,60"
1000x1000,conjunto 34,10,1254443,982,"981,60"
1000x1000,conjunto 38,1,693105,984,"985,00"
1000x1000,conjunto 38,2,1411158,984,"985,00"
1000x1000,conjunto 38,3,1397708,985,"985,00"
1000x1000,conjunto 38,4,1377688,986,"985,00"
1000x1000,conjunto 38,5,1365005,984,"985,00"
1000x1000,conjunto 38,6,1435789,984,"985,00"
1000x1000,conjunto 38,7,1360685,985,"985,00"
1000x1000,conjunto 38,8,1378258,984,"985,00"
1000x1000,conjunto 38,9,1445469,985,"985,00"
